Areaname,ST,,LND110210D
UNITED STATES,00,0,3531905.43
ALABAMA,01,0,50645.33
"Autauga, AL",01,1,594.44
"Baldwin, AL",01,3,1589.78
"Barbour, AL",01,5,884.88
"Bibb, AL",01,7,622.58
"Blount, AL",01,9,644.78
"Bullock, AL",01,11,622.81
"Butler, AL",01,13,776.83
"Calhoun, AL",01,15,605.87
"Chambers, AL",01,17,596.53
"Cherokee, AL",01,19,553.7
"Chilton, AL",01,21,692.85
"Choctaw, AL",01,23,913.5
"Clarke, AL",01,25,1238.47
"Clay, AL",01,27,603.96
"Cleburne, AL",01,29,560.1
"Coffee, AL",01,31,678.97
"Colbert, AL",01,33,592.62
"Conecuh, AL",01,35,850.16
"Coosa, AL",01,37,650.93
"Covington, AL",01,39,1030.46
"Crenshaw, AL",01,41,608.84
"Cullman, AL",01,43,734.84
"Dale, AL",01,45,561.15
"Dallas, AL",01,47,978.7
"DeKalb, AL",01,49,777.09
"Elmore, AL",01,51,618.49
"Escambia, AL",01,53,945.08
"Etowah, AL",01,55,534.99
"Fayette, AL",01,57,627.66
"Franklin, AL",01,59,633.82
"Geneva, AL",01,61,574.41
"Greene, AL",01,63,647.11
"Hale, AL",01,65,643.94
"Henry, AL",01,67,561.75
"Houston, AL",01,69,579.82
"Jackson, AL",01,71,1077.87
"Jefferson, AL",01,73,1111.28
"Lamar, AL",01,75,604.85
"Lauderdale, AL",01,77,667.7
"Lawrence, AL",01,79,690.68
"Lee, AL",01,81,607.54
"Limestone, AL",01,83,559.94
"Lowndes, AL",01,85,715.91
"Macon, AL",01,87,608.89
"Madison, AL",01,89,801.59
"Marengo, AL",01,91,976.88
"Marion, AL",01,93,742.29
"Marshall, AL",01,95,565.84
"Mobile, AL",01,97,1229.44
"Monroe, AL",01,99,1025.68
"Montgomery, AL",01,101,784.25
"Morgan, AL",01,103,579.34
"Perry, AL",01,105,719.66
"Pickens, AL",01,107,881.41
"Pike, AL",01,109,672.09
"Randolph, AL",01,111,580.55
"Russell, AL",01,113,641.14
"St. Clair, AL",01,115,631.9
"Shelby, AL",01,117,784.93
"Sumter, AL",01,119,903.89
"Talladega, AL",01,121,736.78
"Tallapoosa, AL",01,123,716.52
"Tuscaloosa, AL",01,125,1321.76
"Walker, AL",01,127,791.19
"Washington, AL",01,129,1080.21
"Wilcox, AL",01,131,888.5
"Winston, AL",01,133,612.98
ALASKA,02,0,570640.95
"Aleutians East, AK",02,13,6981.94
"Aleutians West, AK",02,16,4390.28
"Anchorage, AK",02,20,1704.68
"Bethel, AK",02,50,40570
"Bristol Bay, AK",02,60,503.84
"Denali, AK",02,68,12751.41
"Dillingham, AK",02,70,18568.78
"Fairbanks North Star, AK",02,90,7338.21
"Haines, AK",02,100,2318.6
"Hoonah-Angoon, AK",02,105,7524.92
"Juneau, AK",02,110,2701.93
"Kenai Peninsula, AK",02,122,16075.33
"Ketchikan Gateway, AK",02,130,4858.41
"Kodiak Island, AK",02,150,6549.58
"Lake and Peninsula, AK",02,164,23652.01
"Matanuska-Susitna, AK",02,170,24607.9
"Nome, AK",02,180,22961.76
"North Slope, AK",02,185,88695.41
"Northwest Arctic, AK",02,188,35572.58
"Petersburg, AK",02,195,3281.98
"Prince of Wales-Hyder, AK",02,198,3922.87
"Sitka, AK",02,220,2870.34
"Skagway, AK",02,230,452.33
"Southeast Fairbanks, AK",02,240,24768.81
"Valdez-Cordova, AK",02,261,34239.88
"Wade Hampton, AK",02,270,17081.43
"Wrangell, AK",02,275,2541.48
"Yakutat, AK",02,282,7649.46
"Yukon-Koyukuk, AK",02,290,145504.79
ARIZONA,04,0,113594.08
"Apache, AZ",04,1,11197.52
"Cochise, AZ",04,3,6165.69
"Coconino, AZ",04,5,18618.89
"Gila, AZ",04,7,4757.93
"Graham, AZ",04,9,4622.6
"Greenlee, AZ",04,11,1843.13
"La Paz, AZ",04,12,4499.63
"Maricopa, AZ",04,13,9200.14
"Mohave, AZ",04,15,13311.08
"Navajo, AZ",04,17,9950.42
"Pima, AZ",04,19,9187.04
"Pinal, AZ",04,21,5365.61
"Santa Cruz, AZ",04,23,1236.92
"Yavapai, AZ",04,25,8123.5
"Yuma, AZ",04,27,5513.99
ARKANSAS,05,0,52035.48
"Arkansas, AR",05,1,988.77
"Ashley, AR",05,3,925.35
"Baxter, AR",05,5,554.28
"Benton, AR",05,7,847.36
"Boone, AR",05,9,590.23
"Bradley, AR",05,11,649.23
"Calhoun, AR",05,13,628.58
"Carroll, AR",05,15,630.09
"Chicot, AR",05,17,644.3
"Clark, AR",05,19,866.07
"Clay, AR",05,21,639.47
"Cleburne, AR",05,23,553.69
"Cleveland, AR",05,25,597.78
"Columbia, AR",05,27,766.05
"Conway, AR",05,29,552.25
"Craighead, AR",05,31,707.21
"Crawford, AR",05,33,593.09
"Crittenden, AR",05,35,609.76
"Cross, AR",05,37,616.38
"Dallas, AR",05,39,667.39
"Desha, AR",05,41,768.15
"Drew, AR",05,43,828.36
"Faulkner, AR",05,45,647.88
"Franklin, AR",05,47,608.86
"Fulton, AR",05,49,618.19
"Garland, AR",05,51,677.78
"Grant, AR",05,53,631.81
"Greene, AR",05,55,577.7
"Hempstead, AR",05,57,727.52
"Hot Spring, AR",05,59,615.2
"Howard, AR",05,61,588.55
"Independence, AR",05,63,763.95
"Izard, AR",05,65,580.58
"Jackson, AR",05,67,633.94
"Jefferson, AR",05,69,870.75
"Johnson, AR",05,71,659.8
"Lafayette, AR",05,73,528.27
"Lawrence, AR",05,75,587.61
"Lee, AR",05,77,602.62
"Lincoln, AR",05,79,561.52
"Little River, AR",05,81,532.25
"Logan, AR",05,83,708.13
"Lonoke, AR",05,85,770.73
"Madison, AR",05,87,834.26
"Marion, AR",05,89,597.01
"Miller, AR",05,91,625.58
"Mississippi, AR",05,93,900.57
"Monroe, AR",05,95,607.12
"Montgomery, AR",05,97,779.88
"Nevada, AR",05,99,617.84
"Newton, AR",05,101,820.9
"Ouachita, AR",05,103,732.78
"Perry, AR",05,105,551.4
"Phillips, AR",05,107,695.66
"Pike, AR",05,109,600.62
"Poinsett, AR",05,111,758.39
"Polk, AR",05,113,857.68
"Pope, AR",05,115,812.55
"Prairie, AR",05,117,647.96
"Pulaski, AR",05,119,759.76
"Randolph, AR",05,121,652.19
"St. Francis, AR",05,123,634.77
"Saline, AR",05,125,723.6
"Scott, AR",05,127,892.32
"Searcy, AR",05,129,666.1
"Sebastian, AR",05,131,531.91
"Sevier, AR",05,133,565.13
"Sharp, AR",05,135,604.44
"Stone, AR",05,137,606.41
"Union, AR",05,139,1039.21
"Van Buren, AR",05,141,708.14
"Washington, AR",05,143,941.97
"White, AR",05,145,1035.08
"Woodruff, AR",05,147,586.79
"Yell, AR",05,149,929.98
CALIFORNIA,06,0,155779.22
"Alameda, CA",06,1,739.02
"Alpine, CA",06,3,738.33
"Amador, CA",06,5,594.58
"Butte, CA",06,7,1636.46
"Calaveras, CA",06,9,1020.01
"Colusa, CA",06,11,1150.73
"Contra Costa, CA",06,13,715.94
"Del Norte, CA",06,15,1006.37
"El Dorado, CA",06,17,1707.88
"Fresno, CA",06,19,5957.99
"Glenn, CA",06,21,1313.95
"Humboldt, CA",06,23,3567.99
"Imperial, CA",06,25,4176.6
"Inyo, CA",06,27,10180.88
"Kern, CA",06,29,8131.92
"Kings, CA",06,31,1389.42
"Lake, CA",06,33,1256.46
"Lassen, CA",06,35,4541.18
"Los Angeles, CA",06,37,4057.88
"Madera, CA",06,39,2137.07
"Marin, CA",06,41,520.31
"Mariposa, CA",06,43,1448.82
"Mendocino, CA",06,45,3506.34
"Merced, CA",06,47,1934.97
"Modoc, CA",06,49,3917.77
"Mono, CA",06,51,3048.98
"Monterey, CA",06,53,3280.6
"Napa, CA",06,55,748.36
"Nevada, CA",06,57,957.77
"Orange, CA",06,59,790.57
"Placer, CA",06,61,1407.01
"Plumas, CA",06,63,2553.04
"Riverside, CA",06,65,7206.48
"Sacramento, CA",06,67,964.64
"San Benito, CA",06,69,1388.71
"San Bernardino, CA",06,71,20056.94
"San Diego, CA",06,73,4206.63
"San Francisco, CA",06,75,46.87
"San Joaquin, CA",06,77,1391.32
"San Luis Obispo, CA",06,79,3298.57
"San Mateo, CA",06,81,448.41
"Santa Barbara, CA",06,83,2735.09
"Santa Clara, CA",06,85,1290.1
"Santa Cruz, CA",06,87,445.17
"Shasta, CA",06,89,3775.4
"Sierra, CA",06,91,953.21
"Siskiyou, CA",06,93,6277.89
"Solano, CA",06,95,821.77
"Sonoma, CA",06,97,1575.85
"Stanislaus, CA",06,99,1494.83
"Sutter, CA",06,101,602.41
"Tehama, CA",06,103,2949.71
"Trinity, CA",06,105,3179.25
"Tulare, CA",06,107,4824.22
"Tuolumne, CA",06,109,2220.88
"Ventura, CA",06,111,1843.13
"Yolo, CA",06,113,1014.69
"Yuba, CA",06,115,631.84
COLORADO,08,0,103641.89
"Adams, CO",08,1,1167.65
"Alamosa, CO",08,3,722.64
"Arapahoe, CO",08,5,798.1
"Archuleta, CO",08,7,1350.18
"Baca, CO",08,9,2554.97
"Bent, CO",08,11,1512.86
"Boulder, CO",08,13,726.29
"Broomfield, CO",08,14,33.03
"Chaffee, CO",08,15,1013.4
"Cheyenne, CO",08,17,1778.28
"Clear Creek, CO",08,19,395.23
"Conejos, CO",08,21,1287.39
"Costilla, CO",08,23,1226.95
"Crowley, CO",08,25,787.42
"Custer, CO",08,27,738.63
"Delta, CO",08,29,1142.05
"Denver, CO",08,31,153
"Dolores, CO",08,33,1067.05
"Douglas, CO",08,35,840.25
"Eagle, CO",08,37,1684.53
"Elbert, CO",08,39,1850.85
"El Paso, CO",08,41,2126.8
"Fremont, CO",08,43,1533.07
"Garfield, CO",08,45,2947.56
"Gilpin, CO",08,47,149.9
"Grand, CO",08,49,1846.33
"Gunnison, CO",08,51,3239.1
"Hinsdale, CO",08,53,1117.25
"Huerfano, CO",08,55,1591
"Jackson, CO",08,57,1613.72
"Jefferson, CO",08,59,764.21
"Kiowa, CO",08,61,1767.77
"Kit Carson, CO",08,63,2160.82
"Lake, CO",08,65,376.91
"La Plata, CO",08,67,1692.08
"Larimer, CO",08,69,2596
"Las Animas, CO",08,71,4772.67
"Lincoln, CO",08,73,2577.63
"Logan, CO",08,75,1838.55
"Mesa, CO",08,77,3328.97
"Mineral, CO",08,79,875.67
"Moffat, CO",08,81,4743.29
"Montezuma, CO",08,83,2029.53
"Montrose, CO",08,85,2240.7
"Morgan, CO",08,87,1280.43
"Otero, CO",08,89,1261.96
"Ouray, CO",08,91,541.59
"Park, CO",08,93,2193.85
"Phillips, CO",08,95,687.93
"Pitkin, CO",08,97,970.7
"Prowers, CO",08,99,1638.4
"Pueblo, CO",08,101,2386.1
"Rio Blanco, CO",08,103,3220.93
"Rio Grande, CO",08,105,911.96
"Routt, CO",08,107,2362.03
"Saguache, CO",08,109,3168.53
"San Juan, CO",08,111,387.49
"San Miguel, CO",08,113,1286.61
"Sedgwick, CO",08,115,548.04
"Summit, CO",08,117,608.36
"Teller, CO",08,119,557.06
"Washington, CO",08,121,2518.03
"Weld, CO",08,123,3987.24
"Yuma, CO",08,125,2364.41
CONNECTICUT,09,0,4842.36
"Fairfield, CT",09,1,624.89
"Hartford, CT",09,3,735.1
"Litchfield, CT",09,5,920.56
"Middlesex, CT",09,7,369.3
"New Haven, CT",09,9,604.51
"New London, CT",09,11,664.88
"Tolland, CT",09,13,410.21
"Windham, CT",09,15,512.91
DELAWARE,10,0,1948.54
"Kent, DE",10,1,586.18
"New Castle, DE",10,3,426.29
"Sussex, DE",10,5,936.08
DISTRICT OF COLUMBIA,11,0,61.05
District of Columbia,11,1,61.05
FLORIDA,12,0,53624.76
"Alachua, FL",12,1,875.02
"Baker, FL",12,3,585.23
"Bay, FL",12,5,758.46
"Bradford, FL",12,7,293.96
"Brevard, FL",12,9,1015.66
"Broward, FL",12,11,1209.79
"Calhoun, FL",12,13,567.33
"Charlotte, FL",12,15,680.28
"Citrus, FL",12,17,581.7
"Clay, FL",12,19,604.36
"Collier, FL",12,21,1998.32
"Columbia, FL",12,23,797.57
"DeSoto, FL",12,27,637.06
"Dixie, FL",12,29,705.05
"Duval, FL",12,31,762.19
"Escambia, FL",12,33,656.46
"Flagler, FL",12,35,485.46
"Franklin, FL",12,37,534.73
"Gadsden, FL",12,39,516.33
"Gilchrist, FL",12,41,349.68
"Glades, FL",12,43,806.01
"Gulf, FL",12,45,564.01
"Hamilton, FL",12,47,513.79
"Hardee, FL",12,49,637.78
"Hendry, FL",12,51,1152.75
"Hernando, FL",12,53,472.54
"Highlands, FL",12,55,1016.62
"Hillsborough, FL",12,57,1020.21
"Holmes, FL",12,59,478.78
"Indian River, FL",12,61,502.87
"Jackson, FL",12,63,917.76
"Jefferson, FL",12,65,598.1
"Lafayette, FL",12,67,543.41
"Lake, FL",12,69,938.38
"Lee, FL",12,71,784.51
"Leon, FL",12,73,666.85
"Levy, FL",12,75,1118.21
"Liberty, FL",12,77,835.56
"Madison, FL",12,79,695.95
"Manatee, FL",12,81,742.93
"Marion, FL",12,83,1584.55
"Martin, FL",12,85,543.46
"Miami-Dade, FL",12,86,1897.72
"Monroe, FL",12,87,983.28
"Nassau, FL",12,89,648.64
"Okaloosa, FL",12,91,930.25
"Okeechobee, FL",12,93,768.91
"Orange, FL",12,95,903.43
"Osceola, FL",12,97,1327.45
"Palm Beach, FL",12,99,1969.76
"Pasco, FL",12,101,746.89
"Pinellas, FL",12,103,273.8
"Polk, FL",12,105,1797.84
"Putnam, FL",12,107,727.62
"St. Johns, FL",12,109,600.66
"St. Lucie, FL",12,111,571.93
"Santa Rosa, FL",12,113,1011.61
"Sarasota, FL",12,115,555.87
"Seminole, FL",12,117,309.22
"Sumter, FL",12,119,546.93
"Suwannee, FL",12,121,688.55
"Taylor, FL",12,123,1043.31
"Union, FL",12,125,243.56
"Volusia, FL",12,127,1101.03
"Wakulla, FL",12,129,606.42
"Walton, FL",12,131,1037.63
"Washington, FL",12,133,582.8
GEORGIA,13,0,57513.49
"Appling, GA",13,1,507.08
"Atkinson, GA",13,3,339.38
"Bacon, GA",13,5,258.58
"Baker, GA",13,7,341.94
"Baldwin, GA",13,9,257.84
"Banks, GA",13,11,232.09
"Barrow, GA",13,13,160.31
"Bartow, GA",13,15,459.54
"Ben Hill, GA",13,17,250.12
"Berrien, GA",13,19,451.9
"Bibb, GA",13,21,249.76
"Bleckley, GA",13,23,215.87
"Brantley, GA",13,25,442.36
"Brooks, GA",13,27,493.05
"Bryan, GA",13,29,435.97
"Bulloch, GA",13,31,672.81
"Burke, GA",13,33,826.97
"Butts, GA",13,35,184.39
"Calhoun, GA",13,37,280.37
"Camden, GA",13,39,613.03
"Candler, GA",13,43,243.04
"Carroll, GA",13,45,499.08
"Catoosa, GA",13,47,162.16
"Charlton, GA",13,49,773.58
"Chatham, GA",13,51,426.44
"Chattahoochee, GA",13,53,248.74
"Chattooga, GA",13,55,313.34
"Cherokee, GA",13,57,421.67
"Clarke, GA",13,59,119.2
"Clay, GA",13,61,195.38
"Clayton, GA",13,63,141.57
"Clinch, GA",13,65,800.22
"Cobb, GA",13,67,339.55
"Coffee, GA",13,69,575.1
"Colquitt, GA",13,71,544.15
"Columbia, GA",13,73,290.09
"Cook, GA",13,75,227.16
"Coweta, GA",13,77,440.89
"Crawford, GA",13,79,324.89
"Crisp, GA",13,81,272.58
"Dade, GA",13,83,173.98
"Dawson, GA",13,85,210.83
"Decatur, GA",13,87,597.14
"DeKalb, GA",13,89,267.58
"Dodge, GA",13,91,495.89
"Dooly, GA",13,93,391.94
"Dougherty, GA",13,95,328.69
"Douglas, GA",13,97,200.07
"Early, GA",13,99,512.59
"Echols, GA",13,101,414.89
"Effingham, GA",13,103,477.7
"Elbert, GA",13,105,351.06
"Emanuel, GA",13,107,680.6
"Evans, GA",13,109,182.85
"Fannin, GA",13,111,386.72
"Fayette, GA",13,113,194.34
"Floyd, GA",13,115,509.91
"Forsyth, GA",13,117,224.02
"Franklin, GA",13,119,261.5
"Fulton, GA",13,121,526.64
"Gilmer, GA",13,123,426.54
"Glascock, GA",13,125,143.74
"Glynn, GA",13,127,419.75
"Gordon, GA",13,129,355.81
"Grady, GA",13,131,454.53
"Greene, GA",13,133,387.44
"Gwinnett, GA",13,135,430.38
"Habersham, GA",13,137,276.74
"Hall, GA",13,139,392.78
"Hancock, GA",13,141,471.84
"Haralson, GA",13,143,282.17
"Harris, GA",13,145,463.87
"Hart, GA",13,147,232.39
"Heard, GA",13,149,296.03
"Henry, GA",13,151,322.13
"Houston, GA",13,153,375.54
"Irwin, GA",13,155,354.34
"Jackson, GA",13,157,339.66
"Jasper, GA",13,159,368.17
"Jeff Davis, GA",13,161,330.74
"Jefferson, GA",13,163,526.49
"Jenkins, GA",13,165,347.28
"Johnson, GA",13,167,303.01
"Jones, GA",13,169,393.93
"Lamar, GA",13,171,183.5
"Lanier, GA",13,173,185.26
"Laurens, GA",13,175,807.3
"Lee, GA",13,177,355.78
"Liberty, GA",13,179,489.8
"Lincoln, GA",13,181,210.38
"Long, GA",13,183,400.29
"Lowndes, GA",13,185,496.07
"Lumpkin, GA",13,187,282.93
"McDuffie, GA",13,189,257.46
"McIntosh, GA",13,191,424.3
"Macon, GA",13,193,400.64
"Madison, GA",13,195,282.31
"Marion, GA",13,197,366
"Meriwether, GA",13,199,501.22
"Miller, GA",13,201,282.42
"Mitchell, GA",13,205,512.09
"Monroe, GA",13,207,395.66
"Montgomery, GA",13,209,239.52
"Morgan, GA",13,211,347.35
"Murray, GA",13,213,344.47
"Muscogee, GA",13,215,216.39
"Newton, GA",13,217,272.16
"Oconee, GA",13,219,184.29
"Oglethorpe, GA",13,221,439.01
"Paulding, GA",13,223,312.22
"Peach, GA",13,225,150.27
"Pickens, GA",13,227,232.06
"Pierce, GA",13,229,316.49
"Pike, GA",13,231,216.09
"Polk, GA",13,233,310.33
"Pulaski, GA",13,235,249.03
"Putnam, GA",13,237,344.64
"Quitman, GA",13,239,151.24
"Rabun, GA",13,241,369.99
"Randolph, GA",13,243,428.24
"Richmond, GA",13,245,324.33
"Rockdale, GA",13,247,129.79
"Schley, GA",13,249,166.91
"Screven, GA",13,251,645.1
"Seminole, GA",13,253,235.23
"Spalding, GA",13,255,196.47
"Stephens, GA",13,257,179.13
"Stewart, GA",13,259,458.73
"Sumter, GA",13,261,482.7
"Talbot, GA",13,263,391.39
"Taliaferro, GA",13,265,194.61
"Tattnall, GA",13,267,479.4
"Taylor, GA",13,269,376.69
"Telfair, GA",13,271,437.3
"Terrell, GA",13,273,335.44
"Thomas, GA",13,275,544.6
"Tift, GA",13,277,258.92
"Toombs, GA",13,279,364.01
"Towns, GA",13,281,166.56
"Treutlen, GA",13,283,199.44
"Troup, GA",13,285,413.99
"Turner, GA",13,287,285.39
"Twiggs, GA",13,289,358.4
"Union, GA",13,291,321.93
"Upson, GA",13,293,323.44
"Walker, GA",13,295,446.38
"Walton, GA",13,297,325.68
"Ware, GA",13,299,892.46
"Warren, GA",13,301,284.3
"Washington, GA",13,303,678.45
"Wayne, GA",13,305,641.78
"Webster, GA",13,307,209.12
"Wheeler, GA",13,309,295.48
"White, GA",13,311,240.69
"Whitfield, GA",13,313,290.46
"Wilcox, GA",13,315,377.71
"Wilkes, GA",13,317,469.49
"Wilkinson, GA",13,319,447.31
"Worth, GA",13,321,570.7
HAWAII,15,0,6422.63
"Hawaii, HI",15,1,4028.42
"Honolulu, HI",15,3,600.74
"Kalawao, HI",15,5,11.99
"Kauai, HI",15,7,619.96
"Maui, HI",15,9,1161.52
IDAHO,16,0,82643.12
"Ada, ID",16,1,1052.58
"Adams, ID",16,3,1363.06
"Bannock, ID",16,5,1111.99
"Bear Lake, ID",16,7,974.79
"Benewah, ID",16,9,776.62
"Bingham, ID",16,11,2093.98
"Blaine, ID",16,13,2643.59
"Boise, ID",16,15,1899.24
"Bonner, ID",16,17,1734.57
"Bonneville, ID",16,19,1866.08
"Boundary, ID",16,21,1268.56
"Butte, ID",16,23,2231.67
"Camas, ID",16,25,1074.49
"Canyon, ID",16,27,587.37
"Caribou, ID",16,29,1764.15
"Cassia, ID",16,31,2565.08
"Clark, ID",16,33,1764.19
"Clearwater, ID",16,35,2457.27
"Custer, ID",16,37,4920.94
"Elmore, ID",16,39,3074.74
"Franklin, ID",16,41,663.65
"Fremont, ID",16,43,1863.53
"Gem, ID",16,45,560.9
"Gooding, ID",16,47,728.97
"Idaho, ID",16,49,8477.35
"Jefferson, ID",16,51,1093.5
"Jerome, ID",16,53,597.19
"Kootenai, ID",16,55,1244.13
"Latah, ID",16,57,1076
"Lemhi, ID",16,59,4563.39
"Lewis, ID",16,61,478.8
"Lincoln, ID",16,63,1201.41
"Madison, ID",16,65,469.21
"Minidoka, ID",16,67,757.59
"Nez Perce, ID",16,69,848.09
"Oneida, ID",16,71,1200.06
"Owyhee, ID",16,73,7665.51
"Payette, ID",16,75,406.87
"Power, ID",16,77,1404.24
"Shoshone, ID",16,79,2629.67
"Teton, ID",16,81,449.46
"Twin Falls, ID",16,83,1921.21
"Valley, ID",16,85,3664.52
"Washington, ID",16,87,1452.98
ILLINOIS,17,0,55518.93
"Adams, IL",17,1,855.2
"Alexander, IL",17,3,235.51
"Bond, IL",17,5,380.28
"Boone, IL",17,7,280.72
"Brown, IL",17,9,305.61
"Bureau, IL",17,11,869.03
"Calhoun, IL",17,13,253.83
"Carroll, IL",17,15,444.81
"Cass, IL",17,17,375.82
"Champaign, IL",17,19,996.27
"Christian, IL",17,21,709.38
"Clark, IL",17,23,501.42
"Clay, IL",17,25,468.32
"Clinton, IL",17,27,474.09
"Coles, IL",17,29,508.29
"Cook, IL",17,31,945.33
"Crawford, IL",17,33,443.63
"Cumberland, IL",17,35,346.02
"DeKalb, IL",17,37,631.31
"De Witt, IL",17,39,397.51
"Douglas, IL",17,41,416.67
"DuPage, IL",17,43,327.5
"Edgar, IL",17,45,623.37
"Edwards, IL",17,47,222.42
"Effingham, IL",17,49,478.78
"Fayette, IL",17,51,716.48
"Ford, IL",17,53,485.62
"Franklin, IL",17,55,408.89
